idx,sent_score,tot_score,Information Density,Idea Development,Terminology Control,Style Register,Reference Consistency,Logical Connectivity,Modality and Attitude,Participant Focus,Relational Address,time
265,3,8,not relevant,not relevant,not relevant,not relevant,medium,not relevant,high,not relevant,not relevant,27.532
266,4,10,not relevant,not relevant,not relevant,not relevant,not relevant,high,high,not relevant,not relevant,14.1
267,3,8,not relevant,not relevant,not relevant,not relevant,not relevant,high,high,not relevant,not relevant,16.327
268,3,9,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,high,not relevant,not relevant,28.958
269,3,8,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,high,medium,not relevant,26.233
270,3,8,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,high,not relevant,not relevant,20.582
271,4,10,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,high,not relevant,not relevant,6.078
272,4,10,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,high,not relevant,not relevant,5.988
273,4,9,not relevant,not relevant,not relevant,not relevant,low,high,high,not relevant,not relevant,27.285
274,3,8,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,high,medium,not relevant,21.006
275,3,8,not relevant,high,not relevant,not relevant,medium,not relevant,high,not relevant,not relevant,64.076
276,3,9,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,high,not relevant,not relevant,24.604
277,3,8,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,high,not relevant,medium,22.534
278,4,8,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,high,medium,not relevant,19.605
279,4,10,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,high,not relevant,not relevant,15.689
280,4,10,not relevant,high,not relevant,not relevant,not relevant,not relevant,high,not relevant,not relevant,16.102
281,4,10,not relevant,not relevant,not relevant,high,not relevant,not relevant,high,not relevant,not relevant,8.018
282,3,8,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,medium,not relevant,not relevant,18.627
283,4,9,not relevant,medium,not relevant,not relevant,not relevant,not relevant,high,not relevant,not relevant,24.832
284,2,5,not relevant,not relevant,not relevant,high,high,not relevant,not relevant,not relevant,low,51.936
285,2,5,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,high,24.002
286,4,10,not relevant,high,not relevant,not relevant,not relevant,not relevant,high,not relevant,not relevant,20.07
287,4,8,not relevant,not relevant,not relevant,not relevant,high,low,high,not relevant,not relevant,39.186
288,4,7,not relevant,not relevant,not relevant,not relevant,low,not relevant,high,not relevant,not relevant,31.629
289,4,9,not relevant,not relevant,not relevant,low,not relevant,not relevant,high,not relevant,not relevant,28.571
290,4,10,not relevant,not relevant,not relevant,not relevant,not relevant,high,high,not relevant,not relevant,23.874
291,3,7,not relevant,not relevant,not relevant,medium,not relevant,not relevant,high,not relevant,medium,28.664
292,4,10,not relevant,not relevant,not relevant,high,not relevant,not relevant,high,not relevant,high,13.919
293,4,9,not relevant,not relevant,not relevant,medium,not relevant,not relevant,high,not relevant,not relevant,15.469
294,3,9,not relevant,not relevant,not relevant,high,not relevant,not relevant,high,not relevant,high,25.857
295,4,10,not relevant,not relevant,not relevant,high,not relevant,not relevant,high,not relevant,not relevant,14.219
296,4,9,not relevant,high,not relevant,not relevant,not relevant,not relevant,high,not relevant,not relevant,34.443
297,3,8,not relevant,not relevant,not relevant,medium,low,medium,high,not relevant,not relevant,65.725
